German,English
Ich,I
ist,is
nicht,not
Sie,she
du,you
das,that
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,The
ein,a
in,in
wir,weather
Du,You
mir,to me
mit,with
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,Has
Wir,we
Und,and
so,so
sind,are
von,from
dich,you
war,was
haben,to have
für,for
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,how
noch,still
dir,to you
uns,US
sich,yourself
Die,the
nur,only
einen,a
Nein,no
dem,to the
ihn,him
auch,even
hast,have
sein,be
ihr,her
da,there
aus,the end
kann,can
aber,but
Aber,but
schon,beautiful
wenn,if
wird,will
um,around
Wie,how
als,as
bist,are you
im,in the
mal,times
doch,indeed
gut,Good
meine,my
jetzt,now
weiß,White
Wenn,When
werden,will
Der,the
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,no
etwas,some
alles,everything
muss,got to
immer,always
nichts,nothing
man,one
wieder,again
bei,at
hab,have
machen,do
vor,in front
Mann,man
ihm,him
einem,a
tun,do
zum,to the
können,be able
sagen,say
werde,become
denn,then
Ist,is
Ein,A
Warum,why
einer,a
gehen,walk
sehen,see
sehr,very
geht,goes
alle,Everyone
über,above
müssen,have to
diese,these
einfach,easy
euch,to you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,Time
Ihnen,them
gibt,gives
wirklich,really
Hey,Hey
Danke,Thanks
deine,your
würde,would
soll,target
Da,There
hatte,would have
Hier,here
wissen,to know
bitte,You're welcome
viel,a lot of
Dann,then
So,So
gesagt,said
Ihr,Her
am,at the
kein,no
Komm,come
Wer,who
zurück,back
wurde,became
In,In
wollte,wanted to
Frau,woman
Leben,Life
wäre,would
wo,Where
damit,in order to
Nicht,not
Gott,God
Leute,People
kannst,can
heute,today
meinen,think
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,N / A
wollen,want
sicher,secure
ganz,all
Jetzt,now
Mein,my
Mr,Mr
also,so
zur,to the
Hast,Have
Gut,Good
hätte,would have
weil,because
tut,does
Hallo,Hello
Okay,OK
macht,power
waren,were
bis,until
Vielleicht,Maybe
könnte,could
Eine,One
Bitte,You're welcome
weg,away
seine,his
lassen,permit
Vater,father
gesehen,seen
Nun,so
gerade,just
Alles,All
glaube,believe
Tag,Day
ab,away
Geld,money
gemacht,made
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,none
durch,through
zwei,two
diesen,this
passiert,happened
wohl,probably
vielleicht,perhaps
ihre,your
Mutter,mother
reden,talk
anderen,others
dachte,thought
daß,that
möchte,would like
wirst,become
gehört,belongs
weißt,whisper
Keine,No
raus,Out
Meine,My
paar,pair
besser,better
ob,if
her,on
musst,must
Ordnung,order
meiner,mine
klar,clear
ihnen,them
Los,Come on
diesem,This
meinem,my
lange,Long
Lass,let
dieses,this
helfen,help
unsere,our
Weg,away
selbst,even
Nur,Just
finden,Find
Mal,Times
jemand,someone
denke,think
Ach,Oh
Nacht,night
genau,I agree
gar,even
sagt,says
Welt,world
Auf,on
Mädchen,girl
ins,into the
hin,there
vom,from the
schön,Nice
warum,why
weiter,further
Leid,Sorrow
gleich,same
wer,who
Man,One
ohne,without
Menschen,People
deinen,yours
leid,suffering
Wieso,how so
dort,there
Als,as
Hause,Home
sollten,should
davon,from that
zusammen,together
geben,give
Ok,OK
Hör,Hear
machst,make
Freund,friend
richtig,correct
Angst,fear
Bist,Are you
Tut,Does
Mit,with
viele,lots
sieht,sees
Haus,House
tot,dead
sollen,should
ganze,entire
